Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012938"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1315 Alumni Engagement"|^|""|^|"05/09/2025 ROAMING HUNGER CATER 5,008.70 USD"|^|"Food Trucks-SLC NONO"|^|"Food - Entertainment"|^|""|^|"Approved"|^|"0"|^|"5008.7"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012938"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1315 Alumni Engagement"|^|""|^|"04/25/2025 4IMPRINT, INC 921.69 USD"|^|"Swag-Toldedo Event"|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"921.69"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10012938"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1315 Alumni Engagement"|^|""|^|"04/29/2025 4IMPRINT, INC 424.54 USD"|^|"Swag-Toledo Event"|^|"Promotional Items"|^|""|^|"Approved"|^|"0"|^|"424.54"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1101 People & Talent Administration"|^|"Amazon Web Services, Inc"|^|"05/18/2025 AMAZON MARK* NW8S88Q 56.00 USD"|^|"Hidrate Spark PRO Smart Water Bottle – Tracks Water Intake with Bluetooth, LED Glow Reminder When You Need to Drink – Straw, 21oz, Plum"|^|"Employee Relations and Recognition"|^|"PO-100037121"|^|"Approved"|^|"0"|^|"56"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1105 People Development"|^|"Amazon Web Services, Inc"|^|"05/18/2025 AMAZON MARK* NW0E058 61.64 USD"|^|"Thanks for the Feedback: The Science and Art of Receiving Feedback Well"|^|"Learning Resources"|^|"PO-100037281"|^|"Approved"|^|"0"|^|"10.12"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1105 People Development"|^|"Amazon Web Services, Inc"|^|"05/18/2025 AMAZON MARK* NW0E058 61.64 USD"|^|"The New One-Page Project Manager: Communicate and Manage Any Project With A Single Sheet of Paper"|^|"Learning Resources"|^|"PO-100037281"|^|"Approved"|^|"0"|^|"21.53"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1105 People Development"|^|"Amazon Web Services, Inc"|^|"05/18/2025 AMAZON MARK* NW0E058 61.64 USD"|^|"Agile for Instructional Designers: Iterative Project Management to Achieve Results"|^|"Learning Resources"|^|"PO-100037281"|^|"Approved"|^|"0"|^|"29.99"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1105 People Development"|^|"Amazon Web Services, Inc"|^|"05/09/2025 AMAZON MARK* NI6HL5L 45.98 USD"|^|"Honeydak 50 Pcs Plastic Sign Holder Clips Swivel Price Signs Rotatable Rack Shelf Price Clips for Merchandise Double Display for Retail Cards(Simple Shape)"|^|"Office Supplies"|^|"PO-100036983"|^|"Approved"|^|"0"|^|"45.98"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1109 Procurement"|^|"Amazon Web Services, Inc"|^|"05/14/2025 AMAZON MARK* NI0LV2R 55.94 USD"|^|"Coffee Machine Cleaner Descaler Tablets - 24 Count, Compatible With Nespresso, Keurig, Ninja, Delonghi, Miele, Coffee Maker Pot Descaling & Cleaning Tabs, Descale Drip Coffe And Espresso Machines"|^|"Office Supplies"|^|"PO-100037076"|^|"Approved"|^|"0"|^|"19.95"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10012939"|^|"2025-05-30-07:00"|^|"2025-06-01-07:00"|^|"1109 Procurement"|^|"Amazon Web Services, Inc"|^|"05/14/2025 AMAZON MARK* NI0LV2R 55.94 USD"|^|"Tall Table Lamp with USB Port and Outlet, Dimmable Nightstand Bedside Lamps with Linen Lampshade, Desk Lamp for Bedroom, Living Room, Guest Room, Home Office, LED Bulb Included"|^|"Office Supplies"|^|"PO-100037076"|^|"Approved"|^|"0"|^|"35.99"|^|""
